Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 330853 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 305579 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 292529 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 305889 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 311334 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 306596 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 300715 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 28 milliseconds, 287224 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 294360 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 310796 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 314140 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 347250 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 314307 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 305644 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 306188 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 312989 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 298938 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 332966 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 315224 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 305100 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 68 milliseconds, 684469 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 40 milliseconds, 401550 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 305630 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 320522 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 327666 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 306151 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 36 milliseconds, 360788 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 322298 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 337650 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 316855 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 320553 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 27 milliseconds, 279387 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 324685 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 296059 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 326212 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 35 milliseconds, 358345 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 336755 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 305751 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 345070 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 325838 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 333041 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 322194 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 36 milliseconds, 366164 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 328764 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 311781 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 339343 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 303628 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 324134 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 314802 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 306588 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 322406 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 333767 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 317498 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 315144 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 36 milliseconds, 365666 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 305232 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 323958 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 310221 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 307378 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 315693 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 311957 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 315785 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 332314 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 306615 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 307180 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 314041 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 316937 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 332315 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 306639 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 309064 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 324749 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 313979 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 295767 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 298983 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 312775 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 303287 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 320482 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 329337 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 318093 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 302437 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 304117 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 314840 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 318513 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 305813 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 309988 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 309391 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 304704 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 331681 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 343036 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 330986 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 340602 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 307767 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 328690 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 325854 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 327282 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 306133 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 337284 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 306423 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 341915 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 28 milliseconds, 282593 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 338245 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 314037 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 35 milliseconds, 350336 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 309757 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 28 milliseconds, 287653 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 28 milliseconds, 280401 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 316904 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 295665 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 292765 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 336168 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 304939 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 28 milliseconds, 281497 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 330395 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 306477 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 296778 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 317201 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 308191 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 301936 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 295022 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 25 milliseconds, 259773 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 327306 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 25 milliseconds, 257772 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 28 milliseconds, 285639 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 25 milliseconds, 256383 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 300022 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 26 milliseconds, 265220 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 293472 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 324472 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 337415 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 323733 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 320026 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 334965 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 316169 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 320822 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 337414 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 36 milliseconds, 362139 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 311879 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 309396 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 324433 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 309436 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 313353 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 295379 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 323878 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 322201 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 349115 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 348284 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 312846 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 36 milliseconds, 362904 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 313034 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 329568 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 338688 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 334276 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 337930 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 303953 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 28 milliseconds, 289446 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 311857 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 331153 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 303504 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 319241 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 318451 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 302216 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 309436 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 340755 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 27 milliseconds, 272180 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 301840 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 303247 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 330911 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 327578 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 303864 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 325928 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 35 milliseconds, 358020 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 319690 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 322869 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 317564 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 344273 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 320816 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 301650 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 347285 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 336626 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 307104 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 332210 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 298563 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 313145 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 302340 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 332816 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 346796 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 344525 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 298228 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 326540 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 36 milliseconds, 361431 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 335190 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 327672 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 291065 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 314838 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 35 milliseconds, 359830 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 320599 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 301090 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 306090 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 331940 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 33 milliseconds, 339743 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 329918 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 43 milliseconds, 433383 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 329546 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 35 milliseconds, 353306 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 325920 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 321022 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 315064 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 318179 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 326234 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 327083 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 325078 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 297746 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 329317 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 315747 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 314468 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 34 milliseconds, 342238 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 35 milliseconds, 351946 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 296720 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 311551 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 327048 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 310001 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 32 milliseconds, 323192 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 304114 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 319190 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 314765 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 29 milliseconds, 298860 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 318992 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 301453 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 30 milliseconds, 309306 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 37 milliseconds, 370671 ticks
Time taken: 0 days, 0 hours, 0 minutes, 0 seconds, 31 milliseconds, 315885 ticks
